provider_sk,provider_id,speciality,npi
0,-1.0,Unknown,-1.0
1,9639472848.0,Podiatry,9639472848.0
2,6303021087.0,Plastic Surgery,-1.0
3,9670335754.0,Infectious Disease,9670335754.0
4,3381395514.0,ENT,3381395514.0
5,7892771428.0,Infectious Disease,7892771428.0
6,7929459291.0,Psychiatry,7929459291.0
7,9581991473.0,Infectious Disease,9581991473.0
8,8530854689.0,Orthopedics,8530854689.0
9,1445200444.0,Cardiology,8001668081.0
10,6754503097.0,Podiatry,6754503097.0
11,9706633966.0,Orthopedics,3617469343.0
12,1353399228.0,Radiology,7754122222.0
13,-1.0,Family Medicine,1013608013.0
14,2945857110.0,Plastic Surgery,2945857110.0
15,9249445534.0,Infectious Disease,9249445534.0
16,1169231110.0,Plastic Surgery,1169231110.0
17,6868336102.0,Oncology,8072460371.0
18,7503607945.0,Endocrinology,7503607945.0
19,7669220569.0,Physical Medicine & Rehabilitation,-1.0
20,-1.0,Ophthalmology,9299972993.0
21,-1.0,Psychiatry,2114910310.0
22,7099411776.0,Neurology,7099411776.0
23,4196786163.0,Ophthalmology,6080491125.0
24,2518649714.0,Cardiology,2518649714.0
25,3896960280.0,Cardiology,3896960280.0
26,8430953655.0,Rheumatology,8430953655.0
27,3243454164.0,Psychiatry,3531409727.0
28,5242519385.0,Rheumatology,5193435351.0
29,9068129529.0,Podiatry,9068129529.0
30,3599298365.0,Radiology,3986741681.0
31,-1.0,Psychiatry,3714769032.0
32,-1.0,Plastic Surgery,4953305212.0
33,2250294737.0,Ophthalmology,5654885076.0
34,-1.0,Infectious Disease,6031643427.0
35,7903185896.0,Physical Medicine & Rehabilitation,7903185896.0
36,4095681282.0,Allergy & Immunology,-1.0
37,1621448128.0,Oncology,1621448128.0
38,3294092753.0,Physical Medicine & Rehabilitation,8863472510.0
39,6343063847.0,Radiology,6343063847.0
40,2680032283.0,Plastic Surgery,7400870432.0
41,3189078060.0,Infectious Disease,3189078060.0
42,4246059658.0,Internal Medicine,7835778046.0
43,9272024952.0,Podiatry,-1.0
44,6284297249.0,Orthopedics,6284297249.0
45,3408589620.0,Anesthesiology,3408589620.0
46,9573276057.0,Anesthesiology,9573276057.0
47,1165055708.0,Neurology,9602773348.0
48,-1.0,Orthopedics,9813200569.0
49,-1.0,General Surgery,8412545268.0
50,-1.0,General Surgery,8843676736.0
51,3926773184.0,OB/GYN,3926773184.0
52,5088032678.0,ENT,5088032678.0
53,2381497437.0,Anesthesiology,2381497437.0
54,3662375512.0,Ophthalmology,6965188159.0
55,4090238502.0,Physical Medicine & Rehabilitation,7156746803.0
56,3271507717.0,Primary Care,4254568852.0
57,1539280391.0,Radiology,1539280391.0
58,5934042475.0,Pediatrics,5934042475.0
59,8327054707.0,Orthopedics,8327054707.0
60,4939782161.0,Internal Medicine,-1.0
61,4786674545.0,Ophthalmology,5488673648.0
62,8929501319.0,General Surgery,8929501319.0
63,8100953892.0,OB/GYN,3852673143.0
64,6344160868.0,Plastic Surgery,6344160868.0
65,3122160665.0,General Surgery,3122160665.0
66,6458618273.0,Emergency Medicine,6458618273.0
67,-1.0,Plastic Surgery,6687472117.0
68,5640785576.0,Neurology,6393089712.0
69,4568759026.0,Oncology,-1.0
70,7594786332.0,Pathology,7594786332.0
71,5539136501.0,Urology,-1.0
72,1654602021.0,Emergency Medicine,3829113898.0
73,-1.0,Urology,6513039012.0
74,5655865464.0,Allergy & Immunology,1170043254.0
75,-1.0,Allergy & Immunology,1915680187.0
76,3758930598.0,Radiology,3758930598.0
77,4147025728.0,Pulmonology,4147025728.0
78,-1.0,Pathology,5206415161.0
79,-1.0,Cardiology,6324663640.0
80,9973421080.0,Podiatry,-1.0
81,7059050795.0,Anesthesiology,7059050795.0
82,5433395802.0,Emergency Medicine,5433395802.0
83,6808867808.0,Internal Medicine,6808867808.0
84,5583394443.0,ENT,5583394443.0
85,9097017443.0,Anesthesiology,9097017443.0
86,2697853760.0,Family Medicine,2697853760.0
87,4478719374.0,Pulmonology,3097023607.0
88,2671543978.0,Cardiology,2671543978.0
89,1932846334.0,Infectious Disease,4913625169.0
90,8347314406.0,Pulmonology,8347314406.0
91,6457711984.0,Orthopedics,6457711984.0
92,9485208067.0,Pulmonology,9485208067.0
93,9334437368.0,Nephrology,6809264940.0
94,8923555411.0,Plastic Surgery,8923555411.0
95,9446034734.0,Pulmonology,9446034734.0
96,3400496327.0,Gastroenterology,3400496327.0
97,8646464809.0,Radiology,3761441863.0
98,4104342076.0,Gastroenterology,4104342076.0
99,9305688531.0,Radiology,9305688531.0
100,9673710819.0,Podiatry,9673710819.0
101,1242425303.0,Nephrology,1242425303.0
102,7344102709.0,Family Medicine,4426632833.0
103,3680788282.0,Vascular Surgery,2770098798.0
104,3825013396.0,Infectious Disease,-1.0
105,5121488855.0,Orthopedics,5121488855.0
106,7229502736.0,Urology,7229502736.0
107,1878587567.0,Infectious Disease,1878587567.0
108,-1.0,Vascular Surgery,3150099457.0
109,6505427526.0,Psychiatry,6505427526.0
