provider_sk,provider_id,speciality,npi_number
1,PROV0166,Internal Medicine,9068671239
2,PROV0185,Orthopedics,6895786277
3,PROV0163,Orthopedics,5176466344
4,PROV0038,Pediatrics,1243376573
5,PROV0009,Internal Medicine,6827138318
6,PROV0377,General Practice,5489090783
7,PROV0321,Dermatology,1855704099
8,PROV0130,Cardiology,6781488313
9,PROV0278,Dermatology,8808542969
10,PROV0218,Surgery,3098025254
11,PROV0372,Neurology,8779799862
12,PROV0215,Cardiology,7805619500
13,PROV0223,General Practice,5708811931
14,PROV0094,General Practice,7567714744
15,PROV0300,Internal Medicine,4613319971
16,PROV0247,Cardiology,5747594015
17,PROV0391,Orthopedics,6566304617
18,PROV0288,Pediatrics,8802153294
19,PROV0486,Oncology,6745646821
20,PROV0176,Oncology,6889450374
21,PROV0236,Internal Medicine,6830780069
22,PROV0266,Internal Medicine,4684692182
23,PROV0096,General Practice,7666002050
24,PROV0276,Dermatology,8159941113
25,PROV0403,General Practice,7275136000
26,PROV0027,Neurology,6697065270
27,PROV0408,Cardiology,6314897828
28,PROV0145,Surgery,9079332625
29,PROV0290,General Practice,7998409518
30,PROV0449,Internal Medicine,4731749567
31,PROV0144,Orthopedics,1789389871
32,PROV0324,Oncology,3995804713
33,PROV0023,Cardiology,4376321270
34,PROV0409,Internal Medicine,7565051727
35,PROV0172,Neurology,6880077965
36,PROV0201,General Practice,8989195445
37,PROV0082,General Practice,8144140295
38,PROV0157,General Practice,3690748144
39,PROV0492,General Practice,6005474334
40,PROV0191,Internal Medicine,7286643426
41,PROV0291,General Practice,9844472810
42,PROV0406,Orthopedics,2625283743
43,PROV0038,Internal Medicine,6855402656
44,PROV0122,Internal Medicine,4765913525
45,PROV0465,Dermatology,6339305484
46,PROV0052,General Practice,6003839308
47,PROV0083,Pediatrics,3311270972
48,PROV0194,Internal Medicine,9309898657
49,PROV0158,Radiology,7166462772
50,PROV0444,Radiology,2548490414
51,PROV0429,General Practice,1282573448
52,PROV0154,Cardiology,4224823021
53,PROV0149,Internal Medicine,7392653945
54,PROV0242,Internal Medicine,9371532582
55,PROV0109,General Practice,9306979582
56,PROV0216,General Practice,2686597008
57,PROV0032,Radiology,4701101339
58,PROV0232,General Practice,2126923572
59,PROV0468,Neurology,5381944865
60,PROV0446,Orthopedics,8511507354
61,PROV0476,Pediatrics,1905594439
62,PROV0379,Internal Medicine,1630954305
63,PROV0092,Surgery,4973551008
64,PROV0153,Oncology,4287350158
65,PROV0290,General Practice,3477462351
66,PROV0259,Internal Medicine,3321433880
67,PROV0064,Internal Medicine,4051748201
68,PROV0235,Internal Medicine,2003766436
69,PROV0017,Pediatrics,1111598223
70,PROV0365,Internal Medicine,7127805117
71,PROV0463,Cardiology,3836961040
72,PROV0026,General Practice,6364712160
73,PROV0243,General Practice,2538280646
74,PROV0331,Oncology,8329237232
75,PROV0494,Surgery,2186428317
76,PROV0076,Orthopedics,3922677240
77,PROV0279,General Practice,1800865580
78,PROV0189,Internal Medicine,3856388333
79,PROV0451,Internal Medicine,8784089446
80,PROV0285,Cardiology,8691102642
81,PROV0121,Pediatrics,7255037157
82,PROV0450,Pediatrics,6123341979
83,PROV0354,Internal Medicine,7630093372
84,PROV0094,Internal Medicine,2833687168
85,PROV0493,Internal Medicine,2595096605
86,PROV0431,Orthopedics,7607139052
87,PROV0412,Internal Medicine,9466460352
88,PROV0343,Internal Medicine,7961753938
89,PROV0499,General Practice,5387843056
90,PROV0465,General Practice,2901139353
91,PROV0132,Pediatrics,5406965361
92,PROV0021,General Practice,1340231787
93,PROV0313,Internal Medicine,4258983580
